name,slug,category,image_link,price,old_price,short_description,description,is_featured,is_flash_sale,is_best_selling,is_new_arrival,is_explore,seo_title,seo_description
Wireless Headphones,wireless-headphones,electronics,https://picsum.photos/seed/wireless-headphones/600/600,99.99,129.99,"High quality sound","Lorem ipsum dolor sit amet, consectetur adipiscing elit.",True,False,True,False,True,"Wireless Headphones Online","Best headphones for music"
Smartphone,smartphone,electronics,https://picsum.photos/seed/smartphone/600/600,499.99,599.99,"Latest model phone","Powerful processor and high resolution camera.",True,True,True,False,True,"Latest Smartphone","Top smartphone with advanced features"
Laptop,laptop,electronics,https://picsum.photos/seed/laptop/600/600,899.99,999.99,"Lightweight and fast","Perfect for work and gaming.",True,False,True,False,True,"Laptop Collection","High performance laptops"
Bluetooth Speaker,bluetooth-speaker,electronics,https://picsum.photos/seed/bluetooth-speaker/600/600,59.99,79.99,"Portable speaker","Crystal clear sound for indoor and outdoor.",False,True,True,True,False,"Bluetooth Speaker","Best portable speaker"
Smart Watch,smart-watch,electronics,https://picsum.photos/seed/smart-watch/600/600,199.99,229.99,"Track your fitness","Monitor heart rate, steps, and sleep patterns.",True,False,True,False,True,"Smart Watch Online","Latest smart watch with health tracking"
Tablet,tablet,electronics,https://picsum.photos/seed/tablet/600/600,299.99,349.99,"Portable tablet","High resolution screen and fast performance.",False,True,True,True,False,"Tablet Collection","Top tablets for work and entertainment"
Camera,camera,electronics,https://picsum.photos/seed/camera/600/600,449.99,499.99,"High quality camera","Capture professional photos easily.",True,False,True,False,True,"Camera Collection","Best cameras for photography"
Earbuds,earbuds,electronics,https://picsum.photos/seed/earbuds/600/600,59.99,79.99,"Noise cancelling earbuds","Crystal clear audio with comfortable fit.",False,True,True,True,False,"Earbuds Collection","Top earbuds for music lovers"
Gaming Console,gaming-console,electronics,https://picsum.photos/seed/gaming-console/600/600,399.99,449.99,"Next-gen console","Play latest games with high performance.",True,False,True,False,True,"Gaming Console Online","Best gaming console"
Portable Charger,portable-charger,electronics,https://picsum.photos/seed/portable-charger/600/600,29.99,39.99,"Fast charging","Compact and powerful portable charger.",False,True,True,True,False,"Portable Charger","Top portable charger for devices"
Summer Dress,summer-dress,fashion,https://picsum.photos/seed/summer-dress/600/600,49.50,,"Lightweight and stylish","Comfortable and perfect for summer days.",False,True,False,True,False,"Summer Dress Collection","Fashionable summer wear"
Jeans,jeans,fashion,https://picsum.photos/seed/jeans/600/600,39.99,49.99,"Classic denim jeans","Durable and stylish for everyday wear.",True,False,True,False,True,"Jeans Collection","Best denim jeans"
Sneakers,sneakers,fashion,https://picsum.photos/seed/sneakers/600/600,59.99,69.99,"Comfortable sneakers","Perfect for running and casual outings.",False,True,True,True,False,"Sneakers Online","Top quality sneakers"
Handbag,handbag,fashion,https://picsum.photos/seed/handbag/600/600,79.99,99.99,"Stylish handbag","High quality leather and spacious design.",True,False,True,False,True,"Handbag Collection","Elegant handbags for women"
Jacket,jacket,fashion,https://picsum.photos/seed/jacket/600/600,89.99,109.99,"Warm winter jacket","Keeps you warm and stylish during cold seasons.",False,False,True,True,False,"Winter Jacket","Best winter jackets"
T-Shirt,t-shirt,fashion,https://picsum.photos/seed/t-shirt/600/600,19.99,29.99,"Casual t-shirt","Soft cotton, comfortable for everyday wear.",True,False,True,False,True,"T-Shirt Collection","Top t-shirts for men and women"
Cap,cap,fashion,https://picsum.photos/seed/cap/600/600,14.99,,"Stylish cap","Perfect for sunny days.",False,True,True,True,False,"Cap Collection","Popular fashion cap"
Socks,socks,fashion,https://picsum.photos/seed/socks/600/600,5.99,,"Comfortable socks","Soft and breathable material.",True,False,True,False,True,"Socks Collection","Top socks for everyday use"
Watch,watch,fashion,https://picsum.photos/seed/watch/600/600,129.99,149.99,"Elegant wrist watch","Perfect accessory for any outfit.",False,True,True,True,False,"Watch Collection","Best fashion watch"
Belt,belt,fashion,https://picsum.photos/seed/belt/600/600,24.99,29.99,"Leather belt","Durable and stylish leather belt.",True,False,True,False,True,"Belt Collection","Top belts for fashion"
Scarf,scarf,fashion,https://picsum.photos/seed/scarf/600/600,19.99,,"Warm scarf","Soft and cozy for winter.",False,True,True,True,False,"Scarf Collection","Best scarves for winter"
